CountryCode,Year,Week,Sex,0-14,15-64,65-74,75-84,85+,Total,0-14,15-64,65-74,75-84,85+,Total,Split,SplitSex,Forecast
AUS,2015,27,b,26.8087128586705,547.191287141329,496,805,1345,3220,0.000309600877384449,0.00180452090980774,0.0128471493249315,0.0387468345605658,0.152481376598554,0.0070301197198419,1,0,0
AUS,2015,28,m,14.8677036191538,349.132296380846,334,455,612,1765,0.000334425341493429,0.00230892634711986,0.0175451740626382,0.0476317902365748,0.189664076635158,0.00775882001961499,1,0,0
AUS,2015,28,f,9.68798862828714,206.312011371713,192,363,815,1586,0.000229934234386076,0.00135710380923289,0.00981032709275408,0.0323430050967905,0.145692028023061,0.00687931709615951,1,0,0
AUS,2015,28,b,24.5556922474409,555.444307752559,526,818,1427,3351,0.000283581830454476,0.00183173762288781,0.013624194647004,0.0393725598391837,0.16177763896367,0.0073161276960218,1,0,0
AUS,2015,29,m,15.0209789141966,356.979021085803,267,505,543,1687,0.000337873025426351,0.00236081931032515,0.0140256331578575,0.0528660528999347,0.168280381720409,0.0074159373218643,1,0,0
AUS,2015,29,f,8.3361762615494,218.663823738451,197,377,856,1657,0.000197850387727553,0.00143835303705234,0.0100658043607946,0.033590393723113,0.153021320230356,0.00718728148066602,1,0,0
AUS,2015,29,b,23.357155175746,575.642844824254,464,882,1399,3344,0.000269740504653766,0.00189834811788275,0.0120183009813876,0.042453053518533,0.158603305473143,0.00730084482706562,1,0,0
AUS,2015,30,m,15.0209789141966,346.979021085803,310,476,591,1739,0.000337873025426351,0.00229468603159229,0.016284442992269,0.049830180555186,0.183155995574147,0.00764452578703143,1,0,0
AUS,2015,30,f,14.4193319118692,195.580668088131,189,379,842,1620,0.000342227697690903,0.00128651389664609,0.0096570407319298,0.0337685920983019,0.150518635086401,0.00702679299859925,1,0,0
AUS,2015,30,b,29.4403108260658,542.559689173934,499,855,1433,3359,0.000339991931364694,0.00178924688119217,0.0129248538571388,0.0411534702475575,0.162457853283069,0.00733359383197172,1,0,0
AUS,2015,31,m,15.4808047993251,356.519195200675,317,461,551,1701,0.000348216077225117,0.00235777833098218,0.0166521562211267,0.048259901756178,0.170759650696032,0.00747748037017853,1,0,0
AUS,2015,31,f,12.6169154228856,191.383084577114,194,388,909,1695,0.00029944923547954,0.0012589025300829,0.00991251799997027,0.0345704847866521,0.162495771132469,0.00735210748927514,1,0,0
AUS,2015,31,b,28.0977202222107,547.902279777789,511,849,1460,3396,0.000324487000892538,0.0018068656128565,0.0132356719859678,0.0408646739651185,0.165518817720364,0.00741437471074009,1,0,0
AUS,2015,32,m,13.4882259637684,367.511774036232,322,489,553,1745,0.000303396186097132,0.00243047585899466,0.0169148085274536,0.0511910888476595,0.171379467939938,0.0076709013791661,1,0,0
AUS,2015,32,f,12.6169154228856,192.383084577114,187,416,846,1654,0.00029944923547954,0.00126548044961464,0.00955484982471361,0.0370652620392971,0.151233687984674,0.00717426890103898,1,0,0
AUS,2015,32,b,26.105141386654,559.894858613346,509,905,1399,3399,0.000301475670247975,0.00184641459651144,0.0131838689644963,0.0435601059345492,0.158603305473143,0.00742092451172131,1,0,0
AUS,2015,33,m,15.1742542092394,315.825745790761,324,481,595,1731,0.000341320709359273,0.00208865920773943,0.0170198694499844,0.0503536068215219,0.184395630061959,0.00760935833085187,1,0,0
AUS,2015,33,f,13.9687277896233,235.031272210377,178,402,906,1735,0.000331533082138063,0.00154601679604044,0.00909499074224077,0.0358178734129746,0.161959481458764,0.00752560855096895,1,0,0
AUS,2015,33,b,29.1429819988627,550.857018001138,502,883,1501,3466,0.000336558224335973,0.00181660971337918,0.013002558389346,0.0425011862322728,0.170166948902922,0.00756720340030187,1,0,0
AUS,2015,34,m,17.1668330447961,366.833166955204,325,487,576,1772,0.000386140600487259,0.00242598800787069,0.0170723999112498,0.0509817183411251,0.178507366244854,0.0077895915437721,1,0,0
AUS,2015,34,f,11.2651030561478,206.734896943852,191,450,899,1758,0.000267365388821018,0.00135988551649755,0.00975923163914599,0.0400946344175089,0.160708138886787,0.00762537166144289,1,0,0
AUS,2015,34,b,28.4319361009439,573.568063899056,516,937,1475,3530,0.000328346698664569,0.00189150593005781,0.0133651795396465,0.0451003527742238,0.16721935351886,0.00770693248790121,1,0,0
AUS,2015,35,m,14.714428324111,333.285571675889,290,460,542,1640,0.000330977657560507,0.00220412676092827,0.0152338337669613,0.0481552165029108,0.167970473098457,0.0072093285168094,1,0,0
AUS,2015,35,f,16.2217484008529,224.778251599147,192,400,885,1718,0.000385006159902266,0.00147857325150258,0.00981032709275408,0.0356396750377857,0.158205453742833,0.00745187059974908,1,0,0
AUS,2015,35,b,30.9361767249639,558.063823275036,482,860,1427,3358,0.000357266964194125,0.00184037622997999,0.0124845281746311,0.0413941338162567,0.16177763896367,0.00733141056497798,1,0,0
AUS,2015,36,m,16.8602824547105,376.139717545289,310,499,586,1788,0.000379245232621415,0.00248753527829225,0.016284442992269,0.0522379413803315,0.181606452464383,0.00785992645613122,1,0,0
AUS,2015,36,f,12.6169154228856,211.383084577114,206,378,878,1686,0.00029944923547954,0.00139046092071754,0.0105256634432674,0.0336794929107075,0.156954111170856,0.00731306975039403,1,0,0
